127.0.0.1, 2018-04-25 21:49:28, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002249
127.0.0.1, 2018-04-25 21:49:28, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001019
127.0.0.1, 2018-04-25 21:49:28, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001528
127.0.0.1, 2018-04-25 21:49:28, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002020
127.0.0.1, 2018-04-25 21:49:28, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000672
127.0.0.1, 2018-04-25 21:49:36, POST, /start/default/add, HTTP/1.1, 303, 0.083996
127.0.0.1, 2018-04-25 21:49:36, GET, /start/default/index, HTTP/1.1, 500, 0.264135
127.0.0.1, 2018-04-25 21:49:40, GET, /start/default/index, HTTP/1.1, 500, 0.145861
127.0.0.1, 2018-04-25 21:49:43, GET, /admin/default/ticket/start/127.0.0.1.2018-04-25.21-49-40.dd6fa124-0678-424d-ac02-b9074fc29326, HTTP/1.1, 303, 0.243978
127.0.0.1, 2018-04-25 21:49:43, GET, /admin/default/index, HTTP/1.1, 200, 0.073180
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.003464
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.004858
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.001945
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.011153
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000805
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002064
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001973
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001240
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000970
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006713
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001714
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.003485
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.003450
127.0.0.1, 2018-04-25 21:49:44, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.001291
127.0.0.1, 2018-04-25 21:49:46, POST, /admin/default/index, HTTP/1.1, 303, 0.019096
127.0.0.1, 2018-04-25 21:49:46, GET, /admin/default/ticket/start/127.0.0.1.2018-04-25.21-49-40.dd6fa124-0678-424d-ac02-b9074fc29326, HTTP/1.1, 200, 0.107411
127.0.0.1, 2018-04-25 21:49:46, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.000763
127.0.0.1, 2018-04-25 21:50:33, GET, /start/default/index, HTTP/1.1, 200, 0.320612
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000732
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001821
127.0.0.1, 2018-04-25 21:50:33, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001357
